,playername,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,passedBall,catcherERA,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun
682998,Corbin Carroll,2,2,24,20,12,9,2,3,30,8,0,26,3,.260,100,.333,.480,.813,1,2,.667,1,438,,,,,,,,,,,,,,,,,,,,,,48,1.20,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,,,111,13,45,.343,33.33
662139,Daulton Varsho,15,15,126,139,79,23,3,27,144,46,0,125,7,.237,527,.304,.446,.750,6,12,.667,8,2303,,,,,,,,,,,,,,,,,,,,7,0,235,0.91,,,,,,,,,,,,2,2,5,0,0,0,0,.000,0.00,-.--,0.0,15,0,0,0,3,5.71,588,74,180,.271,19.52
686753,Drey Jameson,4,4,30,16,4,4,0,2,24,7,0,20,1,.222,90,.286,.333,.619,0,2,1.000,3,369,1.48,24.1,3,0,0,0,0,0,4,1.11,98,73,4,0,0,240,.650,1,0,1,0,30,1.88,1.000,15.16,0,3.43,8.88,2.59,7.40,1.48,0.74,0,0,0,0,0,2,2,0,4,1.000,1.00,1.50,24.1,4,0,0,0,,,,,,,
672695,Geraldo Perdomo,139,130,143,113,58,10,2,5,102,50,0,83,5,.194,427,.285,.262,.547,2,9,.818,3,2048,,,,,,,,,,,,,,,,,,,,,,112,1.27,,,,,,,,,,,,0,12,2,327,169,14,510,.973,3.57,3.88,1151.0,139,83,0,8,,,496,40,168,.242,85.40
453178,Ian Kennedy,57,0,29,78,33,11,1,11,44,22,3,57,1,.278,205,.346,.502,.848,1,4,.800,2,867,5.36,50.1,4,7,10,16,10,6,30,1.57,232,151,57,0,0,565,.650,1,0,3,0,103,0.37,.364,17.23,21,2.00,7.87,3.93,10.19,5.90,1.97,7,1,1,0,3,0,1,0,1,1.000,0.02,0.18,50.1,57,0,0,0,,,0,0,0,.---,-.--
606993,Jake Hager,3,0,2,4,2,1,0,0,1,0,0,3,0,.300,10,.300,.400,.700,0,0,.---,0,28,7.71,2.1,0,0,0,0,0,0,2,1.29,10,7,3,0,0,21,.750,0,0,0,0,4,0.50,.---,12.00,3,-.--,3.86,0.00,11.57,7.71,0.00,1,0,0,0,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,59,3,21,.364,-.--
664983,Jake McCarthy,11,11,90,67,53,16,3,8,73,23,0,91,6,.287,317,.346,.432,.778,3,23,.885,2,1247,,,,,,,,,,,,,,,,,,,,,,137,1.34,,,,,,,,,,,,0,3,1,0,0,0,0,.000,0.00,-.--,0.0,11,0,0,0,,,350,43,111,.350,39.62
573009,Joe Mantiply,69,0,66,48,22,6,0,6,61,6,0,59,3,.255,231,.281,.359,.640,0,2,1.000,5,861,2.85,60.0,2,5,2,8,22,6,19,1.08,243,180,69,0,0,614,.710,3,1,3,0,83,1.38,.286,14.35,9,10.17,9.15,0.90,8.85,3.30,0.90,35,16,0,1,2,5,2,0,7,1.000,0.10,1.05,60.0,69,0,0,0,,,0,0,0,.---,-.--
656669,Jordan Luplow,6,4,48,62,26,5,0,11,60,25,1,36,3,.176,205,.274,.361,.635,1,5,.833,5,1006,,,,,,,,,,,,,,,,,,,,,,74,0.77,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,,,234,28,105,.185,18.64
668942,Josh Rojas,5,4,115,119,65,24,1,8,98,55,2,117,2,.267,439,.347,.380,.727,3,23,.885,7,2023,,,,,,,,,,,,,,,,,,,,,,167,0.97,,,,,,,,,,,,0,5,5,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,,,506,54,155,.322,54.88
