,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,passedBall,catcherERA
543592,Austin Nola,109,5,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,88,119,39,15,0,4,60,33,1,85,6,.249,342,.318,.327,.645,1,2,.667,4,1495,,,,,,,,,,,,,,,,,,,,26,0,112,0.74,,,,,,,,,,,,0,1,9,391,39,144,.282,85.50,4,3.40
605483,Blake Snell,24,24,10,4,0,14,1.000,0.61,1.03,122.0,23,0,0,0,78,125,50,23,2,10,169,50,0,102,2,.218,468,.293,.340,.633,4,11,.733,6,2297,3.37,125.2,8,9,0,0,0,0,47,1.21,526,377,24,0,0,1428,.620,2,0,6,3,159,0.62,.471,18.28,0,3.38,12.10,3.58,7.31,3.58,0.72,0,0,0,1,5,0,0,0,.---,-.--,,
641525,Brandon Dixon,1,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,.000,4,.000,.000,.000,0,0,.---,1,18,,,,,,,,,,,,,,,,,,,,,,0,0.50,,,,,,,,,,,,0,0,0,4,0,3,.000,-.--,,
592273,Brandon Drury,43,14,0,0,0,0,.000,0.00,-.--,0.0,14,0,0,0,33,49,24,9,0,8,38,7,0,38,4,.244,156,.290,.455,.745,1,0,.000,2,655,,,,,,,,,,,,,,,,,,,,,,71,0.67,,,,,,,,,,,,0,0,2,169,28,87,.268,19.50,,
489334,Craig Stammen,32,0,3,3,0,6,1.000,0.19,1.46,37.2,32,0,0,0,49,29,17,4,0,8,32,7,0,39,2,.267,146,.304,.459,.763,1,3,.750,3,632,3.58,37.2,1,1,0,1,2,1,15,1.22,159,113,32,0,0,393,.620,2,0,3,0,67,1.69,.500,16.78,9,4.57,7.65,1.67,9.32,4.06,1.91,18,12,1,0,3,,,,,,,
673490,Ha-Seong Kim,128,122,323,117,8,448,.982,3.44,3.72,1065.0,128,58,0,3,127,162,56,28,3,10,99,51,0,126,6,.249,507,.322,.375,.697,2,11,.846,9,2328,,,,,,,,,,,,,,,,,,,,,,190,0.78,,,,,,,,,,,,0,3,4,571,56,208,.289,50.70,,
630105,Jake Cronenworth,2,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,121,199,87,28,4,17,128,70,3,137,16,.237,577,.332,.388,.720,0,3,1.000,2,2627,,,,,,,,,,,,,,,,,,,,,,224,0.61,,,,,,,,,,,,3,0,8,674,85,222,.273,33.94,,
605397,Joe Musgrove,29,29,16,18,1,35,.971,1.17,1.75,175.0,29,2,0,1,182,152,67,36,2,22,177,40,1,152,14,.231,659,.287,.392,.679,0,7,1.000,13,2749,3.03,175.0,10,7,0,0,0,0,59,1.10,718,525,29,0,0,1824,.660,14,0,4,0,258,1.20,.588,15.71,0,4.43,9.10,2.06,7.82,3.45,1.13,0,0,1,0,4,,,,,,,
595751,Jorge Alfaro,79,9,0,0,0,0,.000,0.00,-.--,0.0,11,0,0,0,52,44,25,14,0,7,97,11,0,63,4,.249,253,.288,.387,.675,0,1,1.000,5,997,,,,,,,,,,,,,,,,,,,,26,1,98,1.18,,,,,,,,,,,,0,0,3,271,40,119,.368,36.14,7,4.11
640492,Jose Azocar,95,0,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,55,51,22,9,3,0,42,12,0,51,0,.259,197,.300,.335,.635,6,5,.455,6,745,,,,,,,,,,,,,,,,,,,,,,66,1.08,,,,,,,,,,,,0,1,1,211,10,96,.327,-.--,,
