,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
446372,Corey Kluber,26,125,170,66,30,2,18,122,18,0,141,9,.256,550,.288,.416,.704,3,4,.571,6,2080,,229,,,2,6,,0.74,0,,26,9,7,1,17,.941,0.62,1.02,141.2,26,1,0,1,4.00,141.2,10,7,0,0,0,0,63,1.12,585,425,26,0,0,1441,.690,9,0,2,0,.588,14.68,0,6.78,7.75,1.14,8.96,4.19,1.14,0,0,,
444482,David Peralta,4,17,26,6,6,1,0,21,7,1,23,1,.264,87,.326,.356,.682,0,0,.---,2,332,95,31,9,38,0,0,.348,0.65,0,-.--,4,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656876,Drew Rasmussen,23,130,108,40,17,2,10,103,27,0,95,3,.219,433,.269,.337,.606,4,8,.667,7,1832,,146,,,1,2,,1.20,1,,23,8,7,0,15,1.000,0.65,1.16,116.2,23,0,0,0,2.70,116.2,9,4,0,0,0,0,35,1.05,467,350,23,0,0,1211,.660,3,0,10,0,.692,15.70,0,3.81,7.95,2.08,7.33,3.09,0.77,0,0,,
642336,Francisco Mejia,2,54,69,30,17,0,6,57,5,0,61,1,.254,240,.271,.400,.671,9,32,.780,5,896,247,96,27,107,0,1,.309,0.78,0,40.00,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,,,,,,,,,,,,,,,,,,,,18,1,,,,,,,,,,,,5,3.06
664076,Garrett Cleavinger,2,4,2,2,2,0,0,4,0,0,3,0,.231,13,.231,.385,.616,0,0,.---,0,49,,5,,,0,0,,2.00,0,,0,0,0,0,0,.000,0.00,0.00,3.1,2,0,0,0,5.40,3.1,0,0,0,0,0,0,2,0.90,13,10,2,0,0,37,.760,0,0,0,0,.---,14.70,1,-.--,10.80,0.00,8.10,5.40,0.00,0,0,,
623912,Harold Ramirez,42,92,72,40,20,0,5,49,16,1,102,5,.328,311,.366,.441,.807,5,3,.375,5,1211,336,137,48,138,0,4,.372,1.28,0,62.20,42,0,0,0,0,.000,0.00,-.--,0.0,42,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670623,Isaac Paredes,34,75,81,43,13,0,18,49,30,0,58,2,.222,261,.305,.479,.784,1,0,.000,10,1224,295,125,40,121,0,2,.204,0.93,0,14.50,25,56,24,1,81,.988,2.35,2.98,242.1,34,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608638,JT Chargois,7,10,2,1,2,0,0,6,3,0,4,0,.182,22,.280,.273,.553,0,0,.---,2,102,,6,,,0,0,,5.00,0,,1,2,1,0,3,1.000,0.43,4.50,6.2,7,0,0,0,0.00,6.2,2,0,0,0,1,0,0,1.05,25,20,7,0,0,68,.670,0,0,0,0,1.000,15.30,1,2.00,8.10,4.05,5.40,1.35,0.00,2,0,,
656222,Jalen Beeks,36,53,41,19,13,1,6,63,19,0,46,2,.229,201,.300,.393,.693,0,0,.---,5,896,,79,,,1,1,,1.29,0,,7,6,1,0,7,1.000,0.19,1.17,54.1,36,0,0,0,2.65,54.1,2,3,2,5,4,3,16,1.20,224,163,36,0,0,574,.640,2,0,3,0,.400,16.49,8,3.32,10.44,3.15,7.62,3.15,0.99,8,2,,
592094,Jason Adam,59,41,50,9,3,1,4,68,13,1,23,6,.127,181,.209,.221,.430,0,8,1.000,7,803,,40,,,0,1,,0.82,1,,0,0,1,0,1,1.000,0.02,0.16,55.1,59,0,0,0,1.30,55.1,2,2,8,9,20,1,8,0.65,202,166,59,0,0,541,.670,6,0,1,0,.500,14.51,14,5.23,11.06,2.11,3.74,1.46,0.65,27,1,,
