,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,babip,normalized_avg,normalized_ops
457705,Andrew McCutchen,64.0,111.0,123.0,58.0,21.0,0.0,14.0,90.0,41.0,0.0,104.0,3.0,424.0,6.0,8.0,9.0,472.0,167.0,188.0,0.0,4.0,0.0,0.245,0.314,0.394,0.708,56.0,0.9,0.1906779661016949,0.029661016949152543,0.2777777777777778,99.6391339214114,98.07433421129646
592885,Christian Yelich,29.0,137.0,74.0,81.0,19.0,4.0,10.0,125.0,68.0,4.0,117.0,4.0,450.0,2.0,16.0,9.0,525.0,174.0,159.0,1.0,2.0,0.0,0.26,0.361,0.387,0.748,42.0,1.85,0.23809523809523808,0.01904761904761905,0.33753943217665616,105.739489059457,103.61525704809287
592669,Hunter Renfroe,6.0,74.0,94.0,44.0,15.0,1.0,23.0,91.0,28.0,0.0,83.0,4.0,338.0,1.0,1.0,9.0,374.0,169.0,158.0,1.0,3.0,0.0,0.246,0.308,0.5,0.808,54.0,0.79,0.24331550802139038,0.06149732620320856,0.2643171806167401,100.04582426394776,111.92664130328751
607054,Jace Peterson,12.0,59.0,45.0,34.0,12.0,2.0,8.0,62.0,22.0,1.0,54.0,2.0,216.0,1.0,10.0,7.0,244.0,94.0,96.0,2.0,2.0,0.0,0.25,0.322,0.435,0.757,30.0,1.31,0.2540983606557377,0.03278688524590164,0.3108108108108108,101.67258563409327,104.86196468637208
669374,Keston Hiura,18.0,18.0,25.0,26.0,2.0,0.0,13.0,76.0,19.0,0.0,38.0,7.0,157.0,1.0,5.0,1.0,183.0,79.0,73.0,0.0,0.0,0.0,0.242,0.35,0.503,0.853,25.0,0.72,0.41530054644808745,0.07103825136612021,0.36764705882352944,98.41906289380228,118.16017949468345
543939,Kolten Wong,1.0,98.0,93.0,52.0,18.0,4.0,9.0,68.0,33.0,1.0,81.0,11.0,333.0,4.0,13.0,4.0,384.0,134.0,123.0,2.0,5.0,0.0,0.243,0.327,0.402,0.729,33.0,1.05,0.17708333333333334,0.0234375,0.27586206896551724,98.82575323633866,100.98331870061459
649966,Luis Urias,23.0,72.0,106.0,44.0,11.0,1.0,14.0,85.0,44.0,0.0,72.0,7.0,330.0,2.0,1.0,5.0,386.0,127.0,138.0,0.0,5.0,0.0,0.218,0.319,0.385,0.704,41.0,0.68,0.22020725388601037,0.03626943005181347,0.2457627118644068,88.65849467292932,97.52024192761682
553882,Omar Narvaez,1.0,44.0,65.0,17.0,10.0,1.0,4.0,46.0,23.0,1.0,45.0,3.0,199.0,8.0,31.0,3.0,226.0,69.0,79.0,0.0,1.0,2.0,0.226,0.314,0.347,0.661,18.0,0.68,0.20353982300884957,0.017699115044247787,0.2733333333333333,91.91201741322031,91.56374987806069
642133,Rowdy Tellez,5.0,106.0,119.0,50.0,21.0,0.0,27.0,93.0,49.0,9.0,94.0,5.0,411.0,0.0,1.0,17.0,466.0,196.0,161.0,0.0,1.0,0.0,0.229,0.318,0.477,0.795,75.0,0.89,0.19957081545064378,0.05793991416309013,0.22945205479452055,93.13208844082943,110.12584138132866
621438,Tyrone Taylor,1.0,67.0,85.0,34.0,15.0,2.0,13.0,85.0,17.0,0.0,67.0,5.0,302.0,1.0,1.0,9.0,326.0,125.0,131.0,0.0,2.0,0.0,0.222,0.273,0.414,0.687,41.0,0.79,0.2607361963190184,0.03987730061349693,0.2621359223300971,90.28525604307482,95.16534972197836
642715,Willy Adames,2.0,75.0,125.0,63.0,20.0,0.0,26.0,122.0,38.0,0.0,93.0,1.0,411.0,2.0,5.0,8.0,454.0,191.0,193.0,0.0,4.0,0.0,0.226,0.291,0.465,0.756,75.0,0.6,0.2687224669603524,0.05726872246696035,0.250936329588015,91.91201741322031,104.72344161545215
663845,Alfonso Rivas,2.0,42.0,33.0,19.0,4.0,1.0,3.0,64.0,20.0,1.0,42.0,2.0,179.0,0.0,3.0,1.0,203.0,57.0,72.0,0.0,2.0,0.0,0.235,0.315,0.318,0.633,24.0,1.27,0.31527093596059114,0.014778325123152709,0.34210526315789475,95.57223049604767,87.68510389230319
666624,Christopher Morel,2.0,76.0,50.0,48.0,14.0,4.0,12.0,103.0,27.0,0.0,75.0,2.0,301.0,6.0,9.0,5.0,333.0,133.0,124.0,1.0,2.0,0.0,0.249,0.313,0.442,0.755,34.0,1.52,0.30930930930930933,0.036036036036036036,0.3351063829787234,101.2658952915569,104.58491854453224
664023,Ian Happ,10.0,119.0,91.0,57.0,33.0,2.0,15.0,118.0,48.0,3.0,125.0,5.0,450.0,3.0,7.0,8.0,506.0,207.0,198.0,0.0,3.0,0.0,0.278,0.352,0.46,0.812,62.0,1.31,0.233201581027668,0.029644268774703556,0.34375,113.05991522511172,112.48073358696715
676369,Nelson Velazquez,6.0,31.0,32.0,16.0,5.0,1.0,6.0,43.0,12.0,0.0,28.0,0.0,134.0,1.0,4.0,4.0,146.0,53.0,66.0,0.0,0.0,0.0,0.209,0.274,0.396,0.67,19.0,0.97,0.2945205479452055,0.0410958904109589,0.25882352941176473,84.99828159010197,92.81045751633988
663611,Nick Madrigal,50.0,75.0,36.0,19.0,6.0,0.0,0.0,24.0,11.0,0.0,43.0,3.0,176.0,1.0,2.0,4.0,192.0,49.0,60.0,2.0,0.0,0.0,0.244,0.3,0.278,0.578,5.0,2.08,0.125,0.0,0.28289473684210525,99.23244357887502,80.06633499170813
663538,Nico Hoerner,111.0,118.0,116.0,41.0,18.0,3.0,7.0,48.0,25.0,3.0,114.0,5.0,395.0,2.0,15.0,8.0,426.0,159.0,143.0,0.0,1.0,0.0,0.289,0.338,0.403,0.741,41.0,1.02,0.11267605633802817,0.01643192488262911,0.31378299120234604,117.53350899301181,102.64559555165351
