,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
682171,Penn Murfee,62,1,4,2,0,6,1.000,0.10,0.82,66.1,62,1,0,0,48,76,18,9,1,5,71,18,1,43,2,.182,236,.244,.292,.536,0,3,1.000,4,952,0,69,0,0,0,2,.---,0.63,0,-.--,2.44,66.1,4,0,0,0,7,0,18,0.92,258,199,62,0,0,654,.690,2,0,2,0,1.000,14.35,14,3.94,9.63,2.44,5.83,2.44,0.68,27,4,,
592662,Robbie Ray,31,31,18,6,0,24,1.000,0.77,1.18,183.1,31,1,0,0,146,171,74,28,5,29,209,59,0,155,7,.228,680,.296,.412,.708,8,16,.667,14,2964,,280,,,0,1,,0.85,0,,3.58,183.1,12,11,0,0,0,0,73,1.17,747,550,31,0,0,1906,.640,7,0,5,6,.522,16.17,0,3.54,10.26,2.90,7.61,3.63,1.42,0,0,,
664059,Sam Haggerty,6,0,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,43,35,28,9,1,5,52,16,3,43,4,.251,171,.328,.404,.732,1,12,.923,4,698,193,69,20,82,1,1,.330,1.23,0,34.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664034,Ty France,136,8,0,0,0,0,.000,0.00,-.--,0.0,8,0,0,0,159,145,64,27,1,20,87,34,3,148,20,.277,534,.341,.444,.785,0,0,.---,16,2135,594,237,82,208,0,5,.296,1.10,1,26.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676265,,15,8,1,2,0,3,1.000,0.20,0.61,44.0,15,0,0,0,26,65,26,10,0,11,39,21,0,39,4,.232,168,.330,.488,.818,1,4,.800,0,757,,82,,,0,1,,0.40,0,,5.11,44.0,0,4,0,0,0,0,25,1.36,194,132,15,0,0,474,.630,4,0,1,0,.000,17.20,7,1.86,7.98,4.30,7.98,5.32,2.25,2,0,,
571901,Aaron Loup,63,0,9,0,0,9,1.000,0.14,1.42,57.1,63,0,0,0,67,53,38,14,0,4,52,21,3,53,8,.236,225,.323,.351,.674,2,5,.714,4,948,,79,,,0,0,,1.26,0,,3.92,57.1,0,5,1,5,19,4,25,1.29,254,172,63,0,0,618,.650,8,0,0,1,.000,16.53,7,2.48,8.16,3.30,8.32,5.97,0.63,34,8,,
681806,Andrew Wantz,40,1,3,2,0,5,1.000,0.13,0.94,48.0,40,0,0,0,30,59,18,4,0,8,48,18,0,35,2,.205,171,.286,.368,.654,2,2,.500,5,787,,63,,,0,1,,0.51,0,,3.19,48.0,2,1,0,1,7,1,17,1.10,192,144,40,0,0,495,.630,2,1,1,0,.667,16.40,7,2.67,9.00,3.38,6.56,3.38,1.50,17,3,,
664058,David Fletcher,34,21,68,20,0,88,1.000,2.59,4.08,194.1,34,13,0,0,55,78,19,9,1,2,16,7,0,50,3,.254,197,.290,.340,.630,0,1,1.000,5,667,209,67,15,57,2,0,.268,0.71,0,98.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642545,Jaime Barria,33,1,10,3,0,13,1.000,0.39,1.54,76.2,33,1,0,0,80,90,29,12,3,11,53,19,0,62,3,.221,281,.276,.402,.678,0,2,1.000,10,1098,,113,,,3,1,,0.89,0,,2.70,76.2,2,3,0,3,5,3,23,1.06,307,230,33,0,0,734,.670,3,0,3,1,.400,14.32,20,2.79,6.22,2.23,7.28,3.40,1.29,17,7,,
623474,Jimmy Herget,48,1,6,5,0,11,1.000,0.23,1.48,67.2,48,0,0,0,59,74,18,15,0,4,63,15,3,45,3,.189,238,.245,.303,.548,0,6,1.000,5,978,,72,,,2,1,,0.80,0,,2.26,67.2,2,1,9,12,6,3,17,0.89,259,203,48,0,0,648,.660,3,0,0,0,.667,14.45,13,4.20,8.38,2.00,5.99,2.39,0.53,26,9,,
